is_filler,cross,q_idx,filler
1,18,sw2121A-ms98-a-0044,uh
1,0,sw2121A-ms98-a-0044,um
1,0,sw2121A-ms98-a-0044,uh
1,3,sw2121A-ms98-a-0044,uh
1,34,sw2121A-ms98-a-0044,uh
1,18,sw2121A-ms98-a-0044,uh
1,4,sw2121A-ms98-a-0044,uh
1,1,sw2121A-ms98-a-0044,uh
1,3,sw2121A-ms98-a-0044,uh
1,36,sw2121A-ms98-a-0044,uh
1,10,sw2121A-ms98-a-0044,uh
1,21,sw2121A-ms98-a-0044,uh
1,3,sw2121A-ms98-a-0044,uh
0,0,sw2121A-ms98-a-0085,qy
1,-1,sw2121A-ms98-a-0085,uh
1,1,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,um
1,-1,sw2121A-ms98-a-0085,uh
1,0,sw2121A-ms98-a-0085,um
1,0,sw2121A-ms98-a-0085,uh
1,0,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,uh
1,0,sw2121A-ms98-a-0085,uh
1,0,sw2121A-ms98-a-0085,uh
1,-1,sw2121A-ms98-a-0085,uh
1,1,sw2121A-ms98-a-0085,uh
1,1,sw2121A-ms98-a-0085,uh
1,0,sw2121A-ms98-a-0085,uh
0,1,sw2121B-ms98-a-0082,qy
1,29,sw2121B-ms98-a-0082,um
1,499,sw2121B-ms98-a-0082,um
1,505,sw2121B-ms98-a-0082,um
1,501,sw2121B-ms98-a-0082,um
1,509,sw2121B-ms98-a-0082,uh
1,510,sw2121B-ms98-a-0082,uh
1,503,sw2121B-ms98-a-0082,um
0,1,sw2121B-ms98-a-0085,qy
1,224,sw2121B-ms98-a-0085,um
1,259,sw2121B-ms98-a-0085,um
1,224,sw2121B-ms98-a-0085,um
1,226,sw2121B-ms98-a-0085,um
1,213,sw2121B-ms98-a-0085,uh
1,214,sw2121B-ms98-a-0085,uh
1,263,sw2121B-ms98-a-0085,um
0,-1,sw2124B-ms98-a-0025,qy
1,-1,sw2124B-ms98-a-0025,um
1,-1,sw2124B-ms98-a-0025,um
1,-1,sw2124B-ms98-a-0025,um
0,0,sw2124B-ms98-a-0026,qy
1,0,sw2124B-ms98-a-0026,um
1,1,sw2124B-ms98-a-0026,um
1,0,sw2124B-ms98-a-0026,um
0,1,sw2125A-ms98-a-0027,qy
1,0,sw2125A-ms98-a-0027,uh
1,0,sw2125A-ms98-a-0027,uh
1,0,sw2125A-ms98-a-0027,uh
1,9,sw2125A-ms98-a-0027,uh
1,0,sw2125A-ms98-a-0027,uh
0,0,sw2154A-ms98-a-0073,qy
1,21,sw2154A-ms98-a-0073,um
1,0,sw2154A-ms98-a-0073,um
1,33,sw2154A-ms98-a-0073,um
0,-1,sw2154A-ms98-a-0115,qy
1,-1,sw2154A-ms98-a-0115,um
1,-1,sw2154A-ms98-a-0115,um
1,-1,sw2154A-ms98-a-0115,um
0,0,sw2154B-ms98-a-0010,qy
1,0,sw2154B-ms98-a-0010,uh
1,0,sw2154B-ms98-a-0010,uh
1,-1,sw2154B-ms98-a-0010,um
0,4,sw2154B-ms98-a-0027,qy
1,35,sw2154B-ms98-a-0027,uh
1,3,sw2154B-ms98-a-0027,uh
1,46,sw2154B-ms98-a-0027,um
0,4,sw2157A-ms98-a-0021,qy
1,0,sw2157A-ms98-a-0021,um
1,0,sw2157A-ms98-a-0021,uh
1,0,sw2157A-ms98-a-0021,uh
1,511,sw2157A-ms98-a-0021,um
1,0,sw2157A-ms98-a-0021,uh
1,6,sw2157A-ms98-a-0021,uh
1,-1,sw2157A-ms98-a-0021,uh
1,361,sw2157A-ms98-a-0021,um
1,371,sw2157A-ms98-a-0021,um
1,0,sw2157A-ms98-a-0021,um
0,25,sw2157A-ms98-a-0042,qy
1,10,sw2157A-ms98-a-0042,um
1,0,sw2157A-ms98-a-0042,uh
1,0,sw2157A-ms98-a-0042,uh
